Record_No,Handle,ParcelID,Address,Add_Suffix,Direction,Name,Type,Class,Acquisition_dt,CenterX,CenterY,Value,Value_Estimated,Value_Est_Dt,Entered_Date,Usage,Cost,Property_Source,Purchase_Type,Parcel_Status
29063,"10124000060","1240000300","715","R","N","6TH","ST","AA",,5.8878503000000003e+05,1.0189093600000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29064,"10124000070","1240000700","713",,"N","6TH","ST","AA",,5.8881913000000000e+05,1.0188714500000000e+06,,0,,"03/11/91 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29065,"10124000110","1240001100","609",,,"LUCAS","AV","AA",,5.8872865000000002e+05,1.0188164300000001e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29066,"10124000120","1240001200","611",,,"LUCAS","AV","AA",,5.8870098999999999e+05,1.0188242000000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29067,"10124000130","1240001300","615",,,"LUCAS","AV","AA",,5.8867252000000002e+05,1.0188310800000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29072,"10141000013","1410000130","1009",,"N","BROADWAY",,"AA",,5.8941706999999995e+05,1.0197488700000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29073,"10151000020","1510000200","1130",,"S","7TH","ST","C","04/05/73 00:00:00",5.8689039000000001e+05,1.0131526000000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29106,"13831000500","38310005000","1188",,,"HODIAMONT","AV","C","08/29/02 00:00:00",5.5973244999999995e+05,1.0316942980000000e+06,,0,,"09/09/02 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29109,"10339000020","3390000200","908",,,"MONTGOMERY","ST","C",,5.8793425000000000e+05,1.0263075900000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Accepted Offer"
29110,"10339000070","3390000700","2607","H","N","9TH","ST","C","11/09/88 00:00:00",5.8806740000000002e+05,1.0262242800000000e+06,,0,,"10/14/88 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29111,"10339000080","3390000800","2607",,"N","9TH","ST","C","11/09/88 00:00:00",5.8807365000000002e+05,1.0262095900000000e+06,,0,,"10/14/88 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29112,"10339000090","3390000900","2605",,"N","9TH","ST","C","11/09/88 00:00:00",5.8808062000000000e+05,1.0261931600000000e+06,,0,,"10/14/88 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29113,"10345000170","3450001700","917",,,"CHAMBERS","ST","C","07/31/81 00:00:00",5.8864375000000000e+05,1.0244423800000000e+06,0,1,,"08/04/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Option"
29114,"10345000180","3450001800","919",,,"CHAMBERS","ST","C","07/31/81 00:00:00",5.8862606000000006e+05,1.0244359399999999e+06,0,1,,"11/25/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Option"
29115,"10345000190","3450001900","921",,,"CHAMBERS","ST","C","10/14/77 00:00:00",5.8860865000000002e+05,1.0244289700000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Option"
29116,"10359000050","3590000500","1112",,,"ST LOUIS","AV","A","01/05/90 00:00:00",5.8727606000000006e+05,1.0263517800000000e+06,,0,,"12/14/89 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29117,"10359000090","3590000900","2715",,"N","11TH","ST","A","12/07/82 00:00:00",5.8739643000000005e+05,1.0263643100000001e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29118,"16097000370","60970003700","5859",,,"MAFFITT","AV","A","11/10/05 00:00:00",5.6355766000000003e+05,1.0359653010000000e+06,0,0,,"12/14/05 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29128,"15524000230","55240002300","5523",,,"GENEVIEVE","AV","A",,5.7283275000000000e+05,1.0436722500000000e+06,0,1,,"07/25/97 00:00:00","Vacant Lot",0.0000000000000000e+00,"810 Homestead",,"Available"
29150,"12058000120","20580001200","3017",,,"IOWA","AV","A","03/01/00 00:00:00",5.7782504000000004e+05,1.0075830470000000e+06,0,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29152,"11264000010","12640000100","2934",,,"HICKORY","ST","C","03/01/00 00:00:00",5.7806577000000002e+05,1.0153804680000000e+06,,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29153,"15789000100","57890001000","5562",,,"ERA","AV","C",,5.6979535999999999e+05,1.0469181250000000e+06,0,0,,"02/18/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29154,"15414000220","54140002200","5780",,,"THEKLA","AV","C",,5.7082417000000004e+05,1.0445058199999999e+06,,0,,"02/18/00 00:00:00","Mixed",0.0000000000000000e+00,"Donations",,"Available"
29157,"15248050050","52480500500","3310",,,"WILLIAM","PL","C","03/01/00 00:00:00",5.6837671999999997e+05,1.0354787640000000e+06,0,0,,"04/02/00 00:00:00","Residential",0.0000000000000000e+00,"Tax Suit",,"Available"
29160,"14928000290","49280002900","4107",,,"CLEVELAND","AV","A",,5.7101872999999998e+05,1.0116441290000000e+06,,0,,"02/18/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Unavailable"
29163,"13631000220","36310002200","3818",,,"COTTAGE","AV","A",,5.7791491000000003e+05,1.0271486440000000e+06,,0,,"02/18/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29164,"15086000150","50860001500","5052",,,"GERALDINE","AV","A",,5.7270878000000003e+05,1.0401929900000000e+06,250,0,,"07/02/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29167,"11977000150","19770001500","2001",,,"ARSENAL","ST","A","10/08/99 00:00:00",5.8001177000000002e+05,1.0066845330000001e+06,,0,,"02/18/00 00:00:00","Vacant Lot",6.0000000000000000e+03,"CDA",,"Option"
29182,"10639000110","6390001100","1201",,,"MONROE","ST","C","04/05/73 00:00:00",5.8754558999999997e+05,1.0249649700000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Offer"
29184,"10639000130","6390001300","1207",,,"MONROE","ST","C","07/02/81 00:00:00",5.8749733999999997e+05,1.0249636899999999e+06,,0,,"07/29/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Offer"
29185,"10640000060","6400000300","1200",,,"MONROE","ST","C","01/14/80 00:00:00",5.8749942000000004e+05,1.0247108400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29186,"10640000060","6400000400","1200",,,"MONROE","ST","C","01/14/80 00:00:00",5.8749942000000004e+05,1.0247108400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29187,"10640000060","6400000500","1200",,,"MONROE","ST","C","01/14/80 00:00:00",5.8749942000000004e+05,1.0247108400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29188,"10640000060","6400000600","1200",,,"MONROE","ST","C","01/14/80 00:00:00",5.8754268000000005e+05,1.0247967500000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29189,"10640000060","6400000700","1200",,,"MONROE","ST","C","04/05/73 00:00:00",5.8749942000000004e+05,1.0247108400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29190,"10640000060","6400000800","1200",,,"MONROE","ST","C","11/13/75 00:00:00",5.8749942000000004e+05,1.0247108400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29191,"10640000060","6400000850","1200",,,"MONROE","ST","C","11/13/75 00:00:00",5.8749942000000004e+05,1.0247108400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29217,"11132030080","11320300800","2901",,"N","14TH","ST","C","01/14/80 00:00:00",5.8617818000000005e+05,1.0265083900000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29242,"10616000080","6160001000","1434",,,"CHAMBERS","ST","A","11/13/75 00:00:00",5.8682693000000005e+05,1.0233777100000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29257,"10620000020","6200000200","1454",,,"MADISON","ST","A","01/31/77 00:00:00",5.8661781000000006e+05,1.0238131300000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29259,"10620000050","6200000500","1446",,,"MADISON","ST","A","01/31/77 00:00:00",5.8667045999999996e+05,1.0238052800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29260,"10620000050","6200000600","1446",,,"MADISON","ST","A","11/13/75 00:00:00",5.8672796999999997e+05,1.0237589500000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29261,"10620000090","6200000900","1440",,,"MADISON","ST","A","11/13/75 00:00:00",5.8679987000000000e+05,1.0238537800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29262,"10620000150","6200001500","1451",,,"CHAMBERS","ST","A","07/27/82 00:00:00",5.8669458999999997e+05,1.0236760300000000e+06,,0,,"07/27/82 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29263,"10620000160","6200001600","1455",,,"CHAMBERS","ST","A","01/14/80 00:00:00",5.8666918000000005e+05,1.0236661899999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29266,"10621000080","6210000800","1435",,,"MADISON","ST","A","12/07/82 00:00:00",5.8674420999999996e+05,1.0240175000000000e+06,,0,,"09/25/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29267,"10621000100","6210001000","1447",,,"MADISON","ST","A","10/31/75 00:00:00",5.8666362000000000e+05,1.0239867800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Unavailable"
29268,"10621000110","6210001100","1449",,,"MADISON","ST","A",,5.8664006000000006e+05,1.0239777200000000e+06,,0,,"06/19/86 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Unavailable"
29270,"10622000090","6220000900","1433",,,"CLINTON","ST","C","11/13/75 00:00:00",5.8658831000000006e+05,1.0242807200000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29273,"10623000120","6230001200","1417",,,"MONROE","ST","C","10/14/77 00:00:00",5.8668166000000003e+05,1.0246386600000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29274,"10623000120","6230001300","1417",,,"MONROE","ST","C",,5.8671756999999995e+05,1.0247227400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Retired"
29275,"10623000120","6230001400","1417",,,"MONROE","ST","C","04/05/73 00:00:00",5.8671756999999995e+05,1.0247227400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29276,"10623000120","6230001450","1417","R",,"MONROE","ST","C","04/05/73 00:00:00",5.8671756999999995e+05,1.0247227400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29277,"10624000020","6240000200","1416",,,"MONROE","ST","C","11/13/75 00:00:00",5.8674390000000002e+05,1.0244789100000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29278,"10624000020","6240000300","1416",,,"MONROE","ST","C","11/13/75 00:00:00",5.8682906000000006e+05,1.0244471700000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29279,"10624000020","6240000400","1416","R",,"MONROE","ST","C","11/13/75 00:00:00",5.8682906000000006e+05,1.0244471700000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29281,"10624000060","6240000600","1412",,,"MONROE","ST","C",,5.8679512000000000e+05,1.0244995699999999e+06,,0,,"03/19/87 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29282,"10624000070","6240000700","1410",,,"MONROE","ST","C","07/02/81 00:00:00",5.8684209999999998e+05,1.0245183900000000e+06,,0,,"07/30/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29285,"12323000020","6250001450","2118",,,"MADISON","ST","C","11/13/75 00:00:00",5.8693937000000000e+05,1.0241661200000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29296,"10632000030","6320000300","1318",,,"MONROE","ST","C",,5.8710756000000006e+05,1.0246300000000000e+06,,0,,"12/19/89 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29297,"10632000050","6320000500","1312",,,"MONROE","ST","C","10/14/77 00:00:00",5.8715225000000000e+05,1.0246467500000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29298,"10632000080","6320000800","1304",,,"MONROE","ST","C","01/14/80 00:00:00",5.8722328000000003e+05,1.0246733400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29299,"10632000090","6320000900","1302",,,"MONROE","ST","C","03/20/85 00:00:00",5.8724620999999996e+05,1.0246819700000000e+06,,0,,"02/26/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29303,"10632000130","6320001300","1301",,,"CLINTON","ST","C","11/13/75 00:00:00",5.8723308999999997e+05,1.0245400900000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29304,"10632000130","6320001400","1301",,,"CLINTON","ST","C","01/14/80 00:00:00",5.8716542000000004e+05,1.0245784000000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29312,"10633000091","6330000900","1300",,,"NORTH MARKET","ST","C","01/05/90 00:00:00",5.8714787000000000e+05,1.0249642500000000e+06,,0,,"12/14/89 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29313,"10633000085","6330001000","1301",,,"MONROE","ST","C","01/14/80 00:00:00",5.8718123999999999e+05,1.0248386400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29321,"10957000200","6340001700","2200",,,"CARR","ST","C","02/02/92 00:00:00",5.8686056000000006e+05,1.0250771600000000e+06,,0,,"01/04/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29322,"10635000110","6350001100","1315",,,"BENTON","ST","C",,5.8682815000000002e+05,1.0253901899999999e+06,,0,,"06/21/91 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Accepted Offer"
29323,"10635000120","6350001200","1319",,,"BENTON","ST","C","02/28/91 00:00:00",5.8680428000000003e+05,1.0253808100000001e+06,,0,,"01/25/91 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29329,"10640000150","6400001500","1215",,,"CLINTON","ST","C","10/09/87 00:00:00",5.8751115000000002e+05,1.0246473400000000e+06,,0,,"10/16/87 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29348,"10643000170","6430001800","1219",,,"TYLER","ST","A","04/05/73 00:00:00",5.8784755000000005e+05,1.0238801200000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29349,"10643000170","6430001900","1219",,,"TYLER","ST","A","01/14/80 00:00:00",5.8784755000000005e+05,1.0238801200000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29355,"10665030050","6650300500","2924",,,"HALL","ST","C","07/02/81 00:00:00",5.8922742000000004e+05,1.0276031300000000e+06,,0,,"07/29/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29430,"11940000140","19400001400","3010",,,"KOSSUTH","AV","A","09/08/00 00:00:00",5.8229787000000000e+05,1.0305201660000000e+06,,0,,"09/12/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29432,"11927000230","19270002300","3233",,,"BARRETT","ST","A","09/08/00 00:00:00",5.8157745999999996e+05,1.0301129690000000e+06,2000,0,"08/29/01 00:00:00","09/12/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29434,"11401130170","14011301700","2323",,,"INDIANA","AV","A","09/08/00 00:00:00",5.7958114000000001e+05,1.0098566730000000e+06,,0,,"09/12/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29435,"11158000180","11580001800","2023",,,"PALM","ST","A","09/08/00 00:00:00",5.8512906999999995e+05,1.0278517110000000e+06,0,0,,"09/12/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29444,"14472000320","44720003200","2410",,,"MARCUS","AV","C",,5.7120594999999995e+05,1.0305132020000000e+06,,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29445,"14469060320","44690603200","4473",,,"ST LOUIS","AV","A",,5.7352600000000000e+05,1.0312118970000000e+06,,0,"04/26/00 00:00:00","12/02/99 00:00:00","Residential",0.0000000000000000e+00,"Tax Suit",,"Available"
29447,"14383170050","43831700500","4118",,,"CLARA","PL","C",,5.7200579000000004e+05,1.0363354770000000e+06,0,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29452,"13837000190","38370001900","1465",,,"HAMILTON","BLVD","A","10/27/00 00:00:00",5.6191048999999999e+05,1.0338909760000000e+06,,0,,"12/02/99 00:00:00","Residential",0.0000000000000000e+00,"Tax Suit",,"Option"
29455,"13819090100","38190901000","5746",,,"DR MARTIN LUTHER KING","DR","C","10/27/00 00:00:00",5.6303326000000001e+05,1.0334673500000000e+06,,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Unavailable"
29464,"13780000730","37800007300","4829",,,"COTE BRILLIANTE","AV","A",,5.6978033999999997e+05,1.0303574330000000e+06,,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29470,"13702000460","37020004600","1824",,"N","TAYLOR","AV","C",,5.7251827000000002e+05,1.0291890010000000e+06,,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29471,"13698000400","36980004000","4345",,,"ALDINE","AV","C",,5.7311417000000004e+05,1.0282792400000000e+06,0,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29475,"13587000310","35870003100","3828",,,"LEE","AV","A",,5.8034373999999999e+05,1.0321619360000000e+06,,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29476,"13576000290","35760002900","4029",,,"LEE","AV","A",,5.7936398999999999e+05,1.0329117340000001e+06,,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29477,"13575000400","5750004000","4170",,,"FAIR","AV","A",,5.7860134999999998e+05,1.0334943990000000e+06,0,0,,"12/02/99 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29478,"13570000540","35700005400","4351",,,"PENROSE","ST","A",,5.7686968000000005e+05,1.0345758730000000e+06,,0,"05/30/01 00:00:00","12/02/99 00:00:00","Residential",0.0000000000000000e+00,"Tax Suit",,"Available"
29509,"12991040620","29910406200","5737",,,"VERNON","AV","AA",,5.6143490000000002e+05,1.0292609060000000e+06,,0,,"04/11/97 00:00:00","Vacant Lot",1.0000000000000000e+00,"LCRA",,"Available"
29517,"14513010270","45130102700","5317",,,"THEODOSIA","AV","A",,5.6641968000000005e+05,1.0318645950000000e+06,,0,,"10/12/01 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29519,"15560000430","55600004300","5381",,,"PRANGE","AV","A","06/26/92 00:00:00",5.7094958999999997e+05,1.0404959700000000e+06,0,1,,"08/14/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29604,"13394000420","33940004200","3901",,,"CARTER","AV","A","10/10/00 00:00:00",5.8059483999999997e+05,1.0332364620000001e+06,,0,,"10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29605,"13573030070","35730300700","4266",,,"PENROSE","ST","A","10/10/00 00:00:00",5.7739579000000004e+05,1.0341310740000000e+06,,0,,"10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29606,"13573030060","35730300600","4268",,,"PENROSE","ST","A","10/10/00 00:00:00",5.7737703000000003e+05,1.0341426810000000e+06,,0,,"10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29607,"13573030080","35730300800","4264",,,"PENROSE","ST","A","10/10/00 00:00:00",5.7741780000000005e+05,1.0341193850000000e+06,,0,,"10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29608,"13753000200","37530002000","4008",,,"ENRIGHT","AV","C","10/10/00 00:00:00",5.7428503000000003e+05,1.0238360410000000e+06,,0,,"10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29674,"13799000430","37990004300","5355",,,"MINERVA","AV","C","10/10/00 00:00:00",5.6502296999999997e+05,1.0304328890000000e+06,,0,"10/30/02 00:00:00","10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29675,"12409000070","24090000700","1404",,,"ANGELICA","ST","A","10/10/00 00:00:00",5.8517198999999999e+05,1.0313155870000001e+06,,0,,"10/06/00 00:00:00","Residential",0.0000000000000000e+00,"Tax Suit",,"Available"
29676,"13706000050","37060000500","4440",,,"KENNERLY","AV","C","10/10/00 00:00:00",5.7334000000000000e+05,1.0302028380000000e+06,0,0,,"10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29685,"11023040100","10230401000","3104",,,"DR SAMUEL T SHEPARD","DR","A","01/05/90 00:00:00",5.7909954000000004e+05,1.0211408300000000e+06,,0,,"12/13/89 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
29692,"15057000030","50570000300","4734",,,"MCMILLAN","AV","A","03/01/00 00:00:00",5.6960566000000003e+05,1.0269489520000000e+06,,0,,"04/03/00 00:00:00","Residential",0.0000000000000000e+00,"Tax Suit",,"Available"
29747,"11037000130","10370001300","3101",,,"DR SAMUEL T SHEPARD","DR","A",,5.7918990000000002e+05,1.0213194399999999e+06,,0,,"12/09/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29748,"11037000140","10370001400","3103",,,"DR SAMUEL T SHEPARD","DR","A","05/31/73 00:00:00",5.7916753000000003e+05,1.0213254700000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29749,"11037000150","10370001500","3105",,,"DR SAMUEL T SHEPARD","DR","A",,5.7914365000000002e+05,1.0213317900000000e+06,,0,,"05/08/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29750,"11037000160","10370001600","3107",,,"DR SAMUEL T SHEPARD","DR","A",,5.7911913000000000e+05,1.0213382500000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29751,"11037000180","10370001800","3117",,,"DR SAMUEL T SHEPARD","DR","A","01/09/74 00:00:00",5.7902833999999997e+05,1.0213622200000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29752,"11037000190","10370001900","3123",,,"DR SAMUEL T SHEPARD","DR","A","10/14/77 00:00:00",5.7899081000000006e+05,1.0213720699999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29753,"11037000200","10370002000","3125",,,"DR SAMUEL T SHEPARD","DR","A",,5.7896308999999997e+05,1.0213793800000000e+06,,0,,"07/20/88 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29784,"11068000195","10680002200","2587",,,"MONTGOMERY","ST","C","05/31/73 00:00:00",5.8226902000000002e+05,1.0265641600000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29835,"11081000130","10810001270","2508",,,"BENTON","ST","C",,5.8252358999999997e+05,1.0254520800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"HUD Donations",,"Retired"
29847,"11149000062","11490000700","3119",,"N","11TH","ST","C","10/26/98 00:00:00",5.8721653000000003e+05,1.0277583560000000e+06,,0,,"04/08/97 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
29874,"13609000105","36090001050","4200",,"W","SACRAMENTO","AV","A",,5.7621440000000002e+05,1.0325062080000000e+06,,0,,"09/28/00 00:00:00","Residential",5.0000000000000000e+03,"CDA",,"Option"
29877,"13626000290","36260002900","3825",,,"LABADIE","AV","A","10/10/00 00:00:00",5.7873891000000003e+05,1.0287675680000000e+06,0,0,,"10/06/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29943,"14838000400","48380004000","5047",,,"ENRIGHT","AV","C",,5.6711970999999996e+05,1.0267452200000000e+06,0,1,,"08/05/93 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
29945,"11090060160","10900601700","2201",,,"UNIVERSITY","ST","A","10/14/77 00:00:00",5.8406697999999998e+05,1.0268389399999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29946,"11090060160","10900601800","2201",,,"UNIVERSITY","ST","A","01/31/77 00:00:00",5.8406697999999998e+05,1.0268389399999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29947,"11090060160","10900601900","2201",,,"UNIVERSITY","ST","A","11/13/75 00:00:00",5.8406697999999998e+05,1.0268389399999999e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Retired"
29950,"14838000405","48380004050","5053",,,"ENRIGHT","AV","C",,5.6707116000000003e+05,1.0267509700000000e+06,,0,,"08/05/93 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
