Record_No,Handle,ParcelID,Address,Add_Suffix,Direction,Name,Type,Class,Acquisition_dt,CenterX,CenterY,Value,Value_Estimated,Value_Est_Dt,Entered_Date,Usage,Cost,Property_Source,Purchase_Type,Parcel_Status
32834,"13735000160","37350001600","3824",,,"EVANS","AV","A","05/04/78 00:00:00",5.7667953000000003e+05,1.0251239700000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32835,"13735000200","37350002000","3816",,,"EVANS","AV","A","02/05/88 00:00:00",5.7678833999999997e+05,1.0250636300000000e+06,,0,,"10/21/87 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32836,"13735000210","37350002100","3810",,,"EVANS","AV","A","11/27/85 00:00:00",5.7681375000000000e+05,1.0250495900000000e+06,,0,,"11/21/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32837,"13735000240","37350002400","1305",,,"PRAIRIE","AV","A",,5.7681170999999996e+05,1.0248817200000000e+06,,0,,"01/05/87 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32839,"13736000300","37360000100","1208",,,"PRAIRIE","AV","AA","07/02/09 00:00:00",5.7674253000000003e+05,1.0244034100000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",2.3220000000000000e+03,"LCRA",,"Lease"
32840,"14549000060","37360000200","5559",,,"DELMAR","BLVD","C","08/13/74 00:00:00",5.7675453000000003e+05,1.0244252500000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Option"
32841,"13736000310","37360000300","1214",,,"PRAIRIE","AV","AA","07/02/09 00:00:00",5.7676750000000000e+05,1.0244485600000001e+06,,0,,"03/15/80 00:00:00","Vacant Lot",2.3220000000000000e+03,"LCRA",,"Lease"
32842,"13736000320","37360000400","1216",,,"PRAIRIE","AV","AA","07/02/09 00:00:00",5.7678468000000005e+05,1.0244796300000000e+06,,0,,"12/07/81 00:00:00","Vacant Lot",2.3220000000000000e+03,"LCRA",,"Lease"
32843,"13736000050","37360000500","1222",,,"PRAIRIE","AV","C",,5.7676900000000000e+05,1.0245449100000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32844,"13736000060","37360000600","1224",,,"PRAIRIE","AV","C","01/14/80 00:00:00",5.7678283999999997e+05,1.0245694700000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
